wb_market,fews_market,cm_name,span_start,span_end,expected_months,fews_obs,wb_obs,fews_missing,wb_missing,fews_pct_missing,wb_pct_missing
Port-de-Paix,Port-de-Paix,sugar,2005-01-01,2026-02-01,254,219,102,35,152,13.779527559055119,59.84251968503938
Cap-Haitien,Cap Haitien,wheat_fao,2014-12-01,2026-02-01,135,129,129,6,6,4.444444444444445,4.444444444444445
Cayes,Cayes,wheat_fao,2017-10-01,2026-02-01,101,95,0,6,101,5.9405940594059405,100.0
Gonaives,Gonaives,wheat_fao,2014-12-01,2026-02-01,135,129,0,6,135,4.444444444444445,100.0
Hinche,Hinche,wheat_fao,2014-12-01,2026-02-01,135,129,129,6,6,4.444444444444445,4.444444444444445
Jacmel,Jacmel,wheat_fao,2014-12-01,2026-02-01,135,129,129,6,6,4.444444444444445,4.444444444444445
Jeremie,Jeremie,wheat_fao,2014-12-01,2026-02-01,135,129,129,6,6,4.444444444444445,4.444444444444445
Ouanaminthe,Ouanaminthe,wheat_fao,2014-12-01,2026-02-01,135,129,129,6,6,4.444444444444445,4.444444444444445
Port-au-Prince,"Port-au-Prince, Croix-de-Bossales",wheat_fao,2014-12-01,2026-02-01,135,129,129,6,6,4.444444444444445,4.444444444444445
Port-de-Paix,Port-de-Paix,wheat_fao,2014-12-01,2026-02-01,135,130,0,5,135,3.7037037037037033,100.0
Cap-Haitien,Cap Haitien,wheat_flour,2005-01-01,2026-02-01,254,247,226,7,28,2.7559055118110236,11.023622047244094
Cayes,Cayes,wheat_flour,2005-01-01,2026-02-01,254,246,210,8,44,3.149606299212598,17.322834645669293
Gonaives,Gonaives,wheat_flour,2005-01-01,2026-02-01,254,223,187,31,67,12.204724409448819,26.37795275590551
Hinche,Hinche,wheat_flour,2005-01-01,2026-02-01,254,248,226,6,28,2.3622047244094486,11.023622047244094
Jacmel,Jacmel,wheat_flour,2005-01-01,2026-02-01,254,248,226,6,28,2.3622047244094486,11.023622047244094
Jeremie,Jeremie,wheat_flour,2005-01-01,2026-02-01,254,248,226,6,28,2.3622047244094486,11.023622047244094
Ouanaminthe,Ouanaminthe,wheat_flour,2005-01-01,2026-02-01,254,247,226,7,28,2.7559055118110236,11.023622047244094
Port-au-Prince,"Port-au-Prince, Croix-de-Bossales",wheat_flour,2005-01-01,2026-02-01,254,248,226,6,28,2.3622047244094486,11.023622047244094
Port-de-Paix,Port-de-Paix,wheat_flour,2005-01-01,2026-02-01,254,219,181,35,73,13.779527559055119,28.74015748031496
