wb_market,cm_name,n_months,fews_mean,wb_mean,ratio_wb_over_fews,r_levels,r_logreturns
Jeremie,rice_fao,147,171.05918367346936,371.81299319727896,2.173592701734293,0.815439152453411,0.511525403578813
Ouanaminthe,rice_fao,190,222.75750000000002,334.46573684210523,1.501479127940048,0.922149098860692,0.45062035042293574
Port-au-Prince,rice_fao,204,244.61625816993464,493.0392647058823,2.015562123280328,0.9678742468310065,0.31758891100358455
Cap-Haitien,sorghum_fao,222,313.9843843843843,315.4191441441442,1.0045695258462388,0.9992918100887574,0.9546962570190985
Cayes,sorghum_fao,107,395.2118146417446,398.182523364486,1.0075167507971245,0.9889647802294697,0.6491542603394429
Gonaives,sorghum_fao,107,359.1429906542056,360.4528971962617,1.0036473120070364,0.997395420031967,0.6341798498616532
Hinche,sorghum_fao,207,255.07568438004833,255.2561352657005,1.000707440562556,0.9997746737006383,0.9183503098454509
Jacmel,sorghum_fao,222,332.86486486486484,332.78018018018014,0.9997455883945003,0.9995317546908525,0.9700115280763175
Jeremie,sorghum_fao,222,233.7150337837838,233.74148648648648,1.0001131835734929,0.9999140188864516,0.9779425767195437
Ouanaminthe,sorghum_fao,124,225.42674731182797,225.5735483870968,1.0006512140951302,0.9999902355720428,0.9960697458007223
Port-au-Prince,sorghum_fao,224,268.8128720238095,269.2761160714286,1.0017232956298985,0.9998930316708163,0.9779118581572743
Port-de-Paix,sorghum_fao,108,358.68364197530866,358.71833333333336,1.0000967185395846,0.9973310014745151,0.8705657708248427
Cap-Haitien,sugar,102,375.7450980392157,379.31098039215686,1.0094901633355946,0.9953257813823841,0.7475444383632498
Cayes,sugar,34,249.343137254902,264.8158823529412,1.0620540242991388,0.6566327550837298,0.700206635905128
Gonaives,sugar,101,397.86138613861385,395.43148514851487,0.9938925940672905,0.9941008884566814,0.7803241164093392
Hinche,sugar,102,557.1629901960785,557.2792156862745,1.0002086023160928,0.9920232836830829,0.5732564831939893
Jacmel,sugar,102,436.933455882353,436.8328431372549,0.9997697298209978,0.9981752126062194,0.7505693262926049
Jeremie,sugar,97,477.68307560138317,477.6865979381443,1.000007373794344,0.9983413374364458,0.6405728946081214
Ouanaminthe,sugar,102,483.43250000000006,482.96303921568625,0.9990289010682695,0.9991265983772025,0.8989355437061883
Port-au-Prince,sugar,77,247.40541125541125,246.83662337662335,0.9977009885276894,0.9930303855658343,0.8549004537065462
Port-de-Paix,sugar,102,498.03186274509807,496.8476470588235,0.9976222089893059,0.9916626561330819,0.7792374261220766
Cap-Haitien,wheat_fao,128,366.54013671875,367.535625,1.0027159052489083,0.9997121431551697,0.9927264868972699
Hinche,wheat_fao,128,388.41552734375,388.765546875,1.00090114711336,0.9998708642345173,0.9857007180491514
Jacmel,wheat_fao,128,427.71484375,428.540390625,1.0019301337960638,0.9997168005950596,0.9802421111691454
Jeremie,wheat_fao,128,437.75876953125,438.79414062499995,1.0023651635691013,0.9997236916192906,0.9625006662370352
Ouanaminthe,wheat_fao,128,354.21138020833337,355.042109375,1.0023452921421612,0.9998496078867198,0.9601265567083564
Port-au-Prince,wheat_fao,128,368.837890625,369.57437500000003,1.0019967698376977,0.9998836945053093,0.9849458006261953
Cap-Haitien,wheat_flour,223,235.12010463378175,233.09147982062777,0.991371963634017,0.9940882904220244,0.7768110077036788
Cayes,wheat_flour,207,175.29478663446056,177.0442995169082,1.0099804045290628,0.9926593111094316,0.8513538523150951
Gonaives,wheat_flour,184,175.6491168478261,176.35429347826087,1.0040146893026836,0.9988693405083225,0.9034055218459184
Hinche,wheat_flour,224,168.57308407738097,168.67910714285716,1.000628944211684,0.9995772813656316,0.9624477753480266
Jacmel,wheat_flour,224,255.0638392857143,253.9228571428571,0.9955266801203478,0.9961680511602601,0.8397813223858772
Jeremie,wheat_flour,224,176.70098586309524,178.53388392857144,1.0103728796787603,0.9914201654063279,0.8699490070402475
Ouanaminthe,wheat_flour,223,228.4311434977578,227.9874887892377,0.9980578186418593,0.9993369205991739,0.7763568456288046
Port-au-Prince,wheat_flour,224,180.6532738095238,181.96861607142858,1.007281031968962,0.9982576226062437,0.9094554143591267
Port-de-Paix,wheat_flour,179,178.75474860335194,179.21782122905026,1.002590547268346,0.9984117481567606,0.9453966743938282
